Sales_person_ID,Sales_person
SP_1,Raleigh Walker
SP_2,Olympia Young
SP_3,Augusta Walker
SP_4,Boise Turner
SP_5,Phoenix Turner
SP_6,Trenton Wilson
SP_7,Olympia Harris
SP_8,Augusta Robinson
SP_9,Sacramento Wilson
SP_10,Charleston Turner
SP_11,Atlanta Wilson
SP_12,Boise Robinson
SP_13,Sacramento Turner
SP_14,Raleigh Robinson
SP_15,Atlanta Turner
SP_16,Springfield Clark
SP_17,Augusta Wilson
SP_18,Springfield Walker
SP_19,Portland Davis
SP_20,Jackson Turner
SP_21,Providence Walker
SP_22,Charleston Harris
SP_23,Boise Wilson
SP_24,Jackson Moore
SP_25,Albany Turner
SP_26,Sacramento Walker
SP_27,Raleigh King
SP_28,Charleston Davis
SP_29,Augusta Turner
SP_30,Providence Turner
SP_31,Sacramento Harris
SP_32,Salem Davis
SP_33,Augusta Young
SP_34,Phoenix Wilson
SP_35,Trenton Martinez
SP_36,Providence Robinson
SP_37,Providence King
SP_38,Salem Turner
SP_39,Sacramento Davis
SP_40,Raleigh Moore
SP_41,Salem Wilson
SP_42,Atlanta Robinson
SP_43,Salem Young
SP_44,Olympia Walker
SP_45,Springfield Harris
SP_46,Springfield Turner
SP_47,Jackson Wilson
SP_48,Albany Walker
SP_49,Helena Harris
SP_50,Providence Wilson
SP_51,Boise Garcia
SP_52,Trenton Clark
SP_53,Charleston Walker
SP_54,Salem Martinez
SP_55,Trenton White
SP_56,Madison Turner
SP_57,Phoenix Taylor
SP_58,Cheyenne Davis
SP_59,Boise White
SP_60,Charlotte Harris
SP_61,Raleigh Davis
SP_62,Helena Turner
SP_63,Albany Clark
SP_64,Montgomery Moore
SP_65,Trenton Walker
SP_66,Portland Turner
SP_67,Providence Clark
SP_68,Albany Wilson
SP_69,Phoenix Walker
SP_70,Columbus Young
SP_71,Memphis Davis
SP_72,Raleigh Harris
SP_73,Olympia Turner
SP_74,Savannah Moore
SP_75,Denver Martinez
SP_76,Portland Taylor
SP_77,Augusta White
SP_78,Jackson Harris
SP_79,Cheyenne Robinson
SP_80,Trenton King
SP_81,Raleigh Turner
SP_82,Nashville Davis
SP_83,Virginia Clark
SP_84,Madison Taylor
SP_85,Charlotte Young
SP_86,Lincoln Williams
SP_87,Phoenix Garcia
SP_88,Columbus Harris
SP_89,Trenton Turner
SP_90,Austin Green
SP_91,Lincoln Young
SP_92,Albany Baker
SP_93,Virginia Turner
SP_94,Miami King
SP_95,Dallas Walker
SP_96,Raleigh Clark
SP_97,Cheyenne Martinez
SP_98,Dakota Robinson
SP_99,Seattle Harris
SP_100,Dakota White
SP_101,Orlando Thomas
SP_102,Scarlett Moore
SP_103,Houston Taylor
SP_104,Atlanta Martinez
SP_105,Phoenix Anderson
